 ,Mkt-RF,SMB,HML,RF,Mom,ST_Rev,LT_Rev
199209,1.19,0.54,-0.26,0.26,1.49,-1.12,0.09
199210,1.02,2.09,-1.98,0.23,2.48,-0.2,-0.9
199211,4.13,3.76,-1.35,0.23,-0.15,-1.04,0.32
199212,1.53,1.69,2.62,0.28,4.31,1.23,0.85
199301,0.93,1.89,5.94,0.23,4.83,-0.45,5.55
199302,0.12,-3.48,6.42,0.22,3.14,-1.49,4.21
199303,2.3,0.24,1.18,0.25,3.73,-0.95,1.88
199304,-3.05,-0.67,2.49,0.24,0.38,-1.71,2.37
199305,2.89,2.04,-3.42,0.22,0.22,1.49,1.32
199306,0.31,-0.29,2.75,0.25,4.55,2.24,1.72
199307,-0.34,0.96,2.85,0.24,3.16,-2.69,1.01
199308,3.71,0.13,0.13,0.25,2.65,1.28,1.11
199309,-0.12,3.04,-0.31,0.26,3.37,0.69,0.62
199310,1.41,2.03,-2.76,0.22,-2.72,1.9,1.67
199311,-1.89,-1.25,-0.74,0.25,-4.74,-1.39,1.53
199312,1.65,1.23,0.32,0.23,2.36,1.07,0.4
